------- 2018-09-06 03:06:09.194458 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
OMNICIENT   ,NO DAMAGING ,   10581.740,         251,        1000,0           ,     526.167,           0,           0
OMNICIENT   ,NO DAMAGING ,   10581.740,         251,        1000,0           ,     601.090,           0,           0
------- 2018-09-14 23:11:04.934806 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
------- 2018-09-14 23:20:33.451185 -------
fph_mode    ,damage_mode ,lng_length  ,lng_num_sqrs,lng_time    ,fph_aborted ,fph_sr_lnth ,fph_num_trps,fph_num_dmgd
REGULAR     ,NO DAMAGING ,    4590.744,         113,        1000,0           ,     256.535,           0,           0
SPECIAL     ,NO DAMAGING ,    4590.744,         113,        1000,1           ,    3235.371,           1,           0
OMNICIENT   ,NO DAMAGING ,    4590.744,         113,        1000,0           ,     301.018,           0,           0
------- 2018-09-14 23:24:09.895717 -------
